,index,Season,seasonStart,seasonEnd,team,opposition,result,ho/Aw,date,teamPoints,team_form_2games,team_form_3games,team_form_4games,team_form_5games,opp_form_2games,opp_form_3games,opp_form_4games,opp_form_5games,diff_2_game_form,diff_3_game_form,diff_4_game_form,diff_5_game_form,ho/Aw_binary,py_T_Leag_Pos,py_O_Leag_Pos,leagueDifference,monthNumber
0,0,1993-94,1993,1994,Arsenal,Coventry,Loss,Home,1993-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,15.0,-5.0,1
1,1,1993-94,1993,1994,Arsenal,Tottenham,Win,Away,1993-08-16,3,0,0,0,0,3,3,3,3,-3,-3,-3,-3,0,10.0,8.0,2.0,1
2,2,1993-94,1993,1994,Arsenal,Sheffield Weds,Win,Away,1993-08-21,3,3,3,3,3,1,1,1,1,2,2,2,2,0,10.0,7.0,3.0,1
3,3,1993-94,1993,1994,Arsenal,Leeds,Win,Home,1993-08-24,3,6,6,6,6,3,4,4,4,3,2,2,2,1,10.0,17.0,-7.0,1
4,4,1993-94,1993,1994,Arsenal,Everton,Win,Home,1993-08-28,3,6,9,9,9,3,6,9,9,3,3,0,0,1,10.0,13.0,-3.0,1
5,5,1993-94,1993,1994,Arsenal,Blackburn,Draw,Away,1993-09-01,1,6,9,12,12,4,7,7,10,2,2,5,2,0,10.0,4.0,6.0,2
6,6,1993-94,1993,1994,Arsenal,Ipswich,Win,Home,1993-09-11,3,4,7,10,13,2,2,5,8,2,5,5,5,1,10.0,16.0,-6.0,2
7,7,1993-94,1993,1994,Arsenal,Man United,Loss,Away,1993-09-19,0,4,7,10,13,3,6,9,10,1,1,1,3,0,10.0,1.0,9.0,2
8,8,1993-94,1993,1994,Arsenal,Southampton,Win,Home,1993-09-25,3,3,4,7,10,0,0,0,3,3,4,7,7,1,10.0,18.0,-8.0,2
9,9,1993-94,1993,1994,Arsenal,Liverpool,Draw,Away,1993-10-02,1,3,6,7,10,0,0,0,3,3,6,7,7,0,10.0,6.0,4.0,3
10,10,1993-94,1993,1994,Arsenal,Man City,Draw,Home,1993-10-16,1,4,4,7,8,4,4,7,10,0,0,0,-2,1,10.0,9.0,1.0,3
11,11,1993-94,1993,1994,Arsenal,Oldham,Draw,Away,1993-10-23,1,2,5,5,8,1,2,2,2,1,3,3,6,0,10.0,19.0,-9.0,3
12,12,1993-94,1993,1994,Arsenal,Norwich,Draw,Home,1993-10-30,1,2,3,6,6,4,7,10,11,-2,-4,-4,-5,1,10.0,3.0,7.0,3
13,13,1993-94,1993,1994,Arsenal,Aston Villa,Loss,Home,1993-11-06,0,2,3,4,7,6,7,7,8,-4,-4,-3,-1,1,10.0,2.0,8.0,4
14,14,1993-94,1993,1994,Arsenal,Chelsea,Win,Away,1993-11-20,3,1,2,3,4,0,0,0,0,1,2,3,4,0,10.0,11.0,-1.0,4
15,15,1993-94,1993,1994,Arsenal,West Ham,Draw,Away,1993-11-24,1,3,4,5,6,3,6,7,8,0,-2,-2,-2,0,10.0,21.0,-11.0,4
16,16,1993-94,1993,1994,Arsenal,Newcastle,Win,Home,1993-11-27,3,4,4,5,6,6,9,12,12,-2,-5,-7,-6,1,10.0,21.0,-11.0,4
17,17,1993-94,1993,1994,Arsenal,Coventry,Loss,Away,1993-12-04,0,4,7,7,8,0,1,4,5,4,6,3,3,0,10.0,15.0,-5.0,5
18,18,1993-94,1993,1994,Arsenal,Tottenham,Draw,Home,1993-12-06,1,3,4,7,7,1,2,3,3,2,2,4,4,1,10.0,8.0,2.0,5
19,19,1993-94,1993,1994,Arsenal,Sheffield Weds,Win,Home,1993-12-12,3,1,4,5,8,4,7,10,11,-3,-3,-5,-3,1,10.0,7.0,3.0,5
20,20,1993-94,1993,1994,Arsenal,Leeds,Loss,Away,1993-12-18,0,4,4,7,8,3,6,9,10,1,-2,-2,-2,0,10.0,17.0,-7.0,5
21,21,1993-94,1993,1994,Arsenal,Swindon,Win,Away,1993-12-27,3,3,4,4,7,4,4,5,5,-1,0,-1,2,0,10.0,21.0,-11.0,5
22,22,1993-94,1993,1994,Arsenal,Sheffield United,Win,Home,1993-12-29,3,3,6,7,7,1,2,2,3,2,4,5,4,1,10.0,14.0,-4.0,5
23,23,1993-94,1993,1994,Arsenal,Wimbledon,Win,Away,1994-01-01,3,6,6,9,10,1,4,7,7,5,2,2,3,0,10.0,12.0,-2.0,6
24,24,1993-94,1993,1994,Arsenal,QPR,Draw,Home,1994-01-03,1,6,9,9,12,1,4,7,7,5,5,2,5,1,10.0,5.0,5.0,6
25,25,1993-94,1993,1994,Arsenal,Man City,Draw,Away,1994-01-15,1,4,7,10,10,1,1,1,4,3,6,9,6,0,10.0,9.0,1.0,6
26,26,1993-94,1993,1994,Arsenal,Oldham,Draw,Home,1994-01-22,1,2,5,8,11,0,0,0,1,2,5,8,10,1,10.0,19.0,-9.0,6
27,27,1993-94,1993,1994,Arsenal,Norwich,Draw,Away,1994-02-13,1,2,3,6,9,2,3,3,6,0,0,3,3,0,10.0,3.0,7.0,7
28,28,1993-94,1993,1994,Arsenal,Everton,Draw,Away,1994-02-19,1,2,3,4,7,4,4,7,7,-2,-1,-3,0,0,10.0,13.0,-3.0,7
29,29,1993-94,1993,1994,Arsenal,Blackburn,Win,Home,1994-02-26,3,2,3,4,5,4,7,10,13,-2,-4,-6,-8,1,10.0,4.0,6.0,7
30,30,1993-94,1993,1994,Arsenal,Ipswich,Win,Away,1994-03-05,3,4,5,6,7,4,4,4,5,0,1,2,2,0,10.0,16.0,-6.0,8
31,31,1993-94,1993,1994,Arsenal,Southampton,Win,Away,1994-03-19,3,6,7,8,9,2,5,8,8,4,2,0,1,0,10.0,18.0,-8.0,8
32,32,1993-94,1993,1994,Arsenal,Man United,Draw,Home,1994-03-22,1,6,9,10,11,4,4,5,8,2,5,5,3,1,10.0,1.0,9.0,8
33,33,1993-94,1993,1994,Arsenal,Liverpool,Win,Home,1994-03-26,3,4,7,10,11,6,6,9,9,-2,1,1,2,1,10.0,6.0,4.0,8
34,34,1993-94,1993,1994,Arsenal,Swindon,Draw,Home,1994-04-02,1,4,7,10,13,1,1,2,2,3,6,8,11,1,10.0,21.0,-11.0,9
35,35,1993-94,1993,1994,Arsenal,Sheffield United,Draw,Away,1994-04-04,1,4,5,8,11,6,7,8,9,-2,-2,0,2,0,10.0,14.0,-4.0,9
36,36,1993-94,1993,1994,Arsenal,Chelsea,Win,Home,1994-04-16,3,2,5,6,9,2,5,5,8,0,0,1,1,1,10.0,11.0,-1.0,9
37,37,1993-94,1993,1994,Arsenal,Wimbledon,Draw,Home,1994-04-19,1,4,5,8,9,4,7,10,13,0,-2,-2,-4,1,10.0,12.0,-2.0,9
38,38,1993-94,1993,1994,Arsenal,Aston Villa,Win,Away,1994-04-23,3,4,5,6,9,3,4,4,5,1,1,2,4,0,10.0,2.0,8.0,9
39,39,1993-94,1993,1994,Arsenal,QPR,Draw,Away,1994-04-27,1,4,7,8,9,4,5,5,5,0,2,3,4,0,10.0,5.0,5.0,9
40,40,1993-94,1993,1994,Arsenal,West Ham,Loss,Home,1994-04-30,0,4,5,8,9,0,3,3,6,4,2,5,3,1,10.0,21.0,-11.0,9
41,41,1993-94,1993,1994,Arsenal,Newcastle,Loss,Away,1994-05-07,0,1,4,5,8,3,6,9,9,-2,-2,-4,-1,0,10.0,21.0,-11.0,10
42,42,1994-95,1994,1995,Arsenal,Man City,Win,Home,1994-08-20,3,0,1,4,5,2,2,3,6,-2,-1,1,-1,1,4.0,16.0,-12.0,1
43,43,1994-95,1994,1995,Arsenal,Leeds,Loss,Away,1994-08-23,0,3,3,4,7,4,5,8,8,-1,-2,-4,-1,0,4.0,5.0,-1.0,1
44,44,1994-95,1994,1995,Arsenal,Liverpool,Loss,Away,1994-08-28,0,3,3,3,4,3,3,6,6,0,0,-3,-2,0,4.0,8.0,-4.0,1
45,45,1994-95,1994,1995,Arsenal,Blackburn,Draw,Home,1994-08-31,1,0,3,3,3,6,7,8,8,-6,-4,-5,-5,1,4.0,2.0,2.0,1
46,46,1994-95,1994,1995,Arsenal,Norwich,Draw,Away,1994-09-10,1,1,1,4,4,4,5,5,6,-3,-4,-1,-2,0,4.0,12.0,-8.0,2
47,47,1994-95,1994,1995,Arsenal,Newcastle,Loss,Home,1994-09-18,0,2,2,2,5,6,9,12,15,-4,-7,-10,-10,1,4.0,3.0,1.0,2
48,48,1994-95,1994,1995,Arsenal,West Ham,Win,Away,1994-09-25,3,1,2,2,2,4,4,4,4,-3,-2,-2,-2,0,4.0,13.0,-9.0,2
49,49,1994-95,1994,1995,Arsenal,Crystal Palace,Loss,Home,1994-10-01,0,3,4,5,5,1,2,2,3,2,2,3,2,1,4.0,21.0,-17.0,3
50,50,1994-95,1994,1995,Arsenal,Wimbledon,Win,Away,1994-10-08,3,3,3,4,5,3,4,7,7,0,-1,-3,-2,0,4.0,6.0,-2.0,3
51,51,1994-95,1994,1995,Arsenal,Chelsea,Win,Home,1994-10-15,3,3,6,6,7,3,6,6,6,0,0,0,1,1,4.0,14.0,-10.0,3
52,52,1994-95,1994,1995,Arsenal,Coventry,Win,Home,1994-10-23,3,6,6,9,9,6,7,7,10,0,-1,2,-1,1,4.0,11.0,-7.0,3
53,53,1994-95,1994,1995,Arsenal,Everton,Draw,Away,1994-10-29,1,6,9,9,12,0,0,0,1,6,9,9,11,0,4.0,17.0,-13.0,3
54,54,1994-95,1994,1995,Arsenal,Sheffield Weds,Draw,Home,1994-11-06,1,4,7,10,10,1,1,4,7,3,6,6,3,1,4.0,7.0,-3.0,4
55,55,1994-95,1994,1995,Arsenal,Southampton,Loss,Away,1994-11-19,0,2,5,8,11,2,2,2,2,0,3,6,9,0,4.0,18.0,-14.0,4
56,56,1994-95,1994,1995,Arsenal,Leicester,Loss,Away,1994-11-23,0,1,2,5,8,0,0,0,3,1,2,5,5,0,4.0,21.0,-17.0,4
57,57,1994-95,1994,1995,Arsenal,Man United,Draw,Home,1994-11-26,1,0,1,2,5,6,9,12,15,-6,-8,-10,-10,1,4.0,1.0,3.0,4
58,58,1994-95,1994,1995,Arsenal,Nott'm Forest,Draw,Away,1994-12-03,1,1,1,2,3,0,1,1,1,1,0,1,2,0,4.0,21.0,-17.0,5
59,59,1994-95,1994,1995,Arsenal,Man City,Win,Away,1994-12-12,3,2,2,2,3,6,9,9,10,-4,-7,-7,-7,0,4.0,16.0,-12.0,5
60,60,1994-95,1994,1995,Arsenal,Leeds,Loss,Home,1994-12-17,0,4,5,5,5,1,4,4,7,3,1,1,-2,1,4.0,5.0,-1.0,5
61,61,1994-95,1994,1995,Arsenal,Aston Villa,Draw,Home,1994-12-26,1,3,4,5,5,1,2,3,6,2,2,2,-1,1,4.0,10.0,-6.0,5
62,62,1994-95,1994,1995,Arsenal,Ipswich,Win,Away,1994-12-28,3,1,4,5,6,2,2,2,3,-1,2,3,3,0,4.0,19.0,-15.0,5
63,63,1994-95,1994,1995,Arsenal,QPR,Loss,Home,1994-12-31,0,4,4,7,8,2,5,5,8,2,-1,2,0,1,4.0,9.0,-5.0,5
64,64,1994-95,1994,1995,Arsenal,Tottenham,Loss,Away,1995-01-02,0,3,4,4,7,4,7,8,11,-1,-3,-4,-4,0,4.0,15.0,-11.0,6
65,65,1994-95,1994,1995,Arsenal,Everton,Draw,Home,1995-01-14,1,0,3,4,4,3,3,4,5,-3,0,0,-1,1,4.0,17.0,-13.0,6
66,66,1994-95,1994,1995,Arsenal,Coventry,Win,Away,1995-01-21,3,1,1,4,5,1,1,1,2,0,0,3,3,0,4.0,11.0,-7.0,6
67,67,1994-95,1994,1995,Arsenal,Southampton,Draw,Home,1995-01-24,1,4,4,4,7,2,3,4,4,2,1,0,3,1,4.0,18.0,-14.0,6
68,68,1994-95,1994,1995,Arsenal,Sheffield Weds,Loss,Away,1995-02-04,0,4,5,5,5,4,5,6,9,0,0,-1,-4,0,4.0,7.0,-3.0,7
69,69,1994-95,1994,1995,Arsenal,Leicester,Draw,Home,1995-02-11,1,1,4,5,5,3,3,3,3,-2,1,2,2,1,4.0,21.0,-17.0,7
70,70,1994-95,1994,1995,Arsenal,Nott'm Forest,Win,Home,1995-02-21,3,1,2,5,6,1,4,4,4,0,-2,1,2,1,4.0,21.0,-17.0,7
71,71,1994-95,1994,1995,Arsenal,Crystal Palace,Win,Away,1995-02-25,3,4,4,5,8,3,4,4,7,1,0,1,1,0,4.0,21.0,-17.0,7
72,72,1994-95,1994,1995,Arsenal,West Ham,Loss,Home,1995-03-05,0,6,7,7,8,0,1,4,4,6,6,3,4,1,4.0,13.0,-9.0,8
73,73,1994-95,1994,1995,Arsenal,Blackburn,Loss,Away,1995-03-08,0,3,6,7,7,4,7,10,10,-1,-1,-3,-3,0,4.0,2.0,2.0,8
74,74,1994-95,1994,1995,Arsenal,Newcastle,Loss,Away,1995-03-19,0,0,3,6,7,3,6,9,12,-3,-3,-3,-5,0,4.0,3.0,1.0,8
75,75,1994-95,1994,1995,Arsenal,Man United,Loss,Away,1995-03-22,0,0,0,3,6,1,4,7,7,-1,-4,-4,-1,0,4.0,1.0,3.0,8
76,76,1994-95,1994,1995,Arsenal,Norwich,Win,Home,1995-04-01,3,0,0,0,3,3,4,5,6,-3,-4,-5,-3,1,4.0,12.0,-8.0,9
77,77,1994-95,1994,1995,Arsenal,QPR,Loss,Away,1995-04-08,0,3,3,3,3,3,6,6,9,0,-3,-3,-6,0,4.0,9.0,-5.0,9
78,78,1994-95,1994,1995,Arsenal,Liverpool,Loss,Home,1995-04-12,0,3,3,3,3,3,4,7,7,0,-1,-4,-4,1,4.0,8.0,-4.0,9
79,79,1994-95,1994,1995,Arsenal,Ipswich,Win,Home,1995-04-15,3,0,3,3,3,0,0,0,0,0,3,3,3,1,4.0,19.0,-15.0,9
80,80,1994-95,1994,1995,Arsenal,Aston Villa,Win,Away,1995-04-17,3,3,3,6,6,1,4,4,5,2,-1,2,1,0,4.0,10.0,-6.0,9
81,81,1994-95,1994,1995,Arsenal,Tottenham,Draw,Home,1995-04-29,1,6,6,6,9,4,7,7,8,2,-1,-1,1,1,4.0,15.0,-11.0,9
82,82,1994-95,1994,1995,Arsenal,Wimbledon,Draw,Home,1995-05-04,1,4,7,7,7,2,2,2,3,2,5,5,4,1,4.0,6.0,-2.0,10
83,83,1994-95,1994,1995,Arsenal,Chelsea,Loss,Away,1995-05-14,0,2,5,8,8,2,5,6,9,0,0,2,-1,0,4.0,14.0,-10.0,10
84,84,1995-96,1995,1996,Arsenal,Middlesbrough,Draw,Home,1995-08-20,1,1,2,5,8,0,0,0,0,1,2,5,8,1,12.0,21.0,-9.0,1
85,85,1995-96,1995,1996,Arsenal,Everton,Win,Away,1995-08-23,3,1,2,3,6,2,5,6,7,-1,-3,-3,-1,0,12.0,15.0,-3.0,1
86,86,1995-96,1995,1996,Arsenal,Coventry,Draw,Away,1995-08-26,1,4,4,5,6,3,4,7,7,1,0,-2,-1,0,12.0,16.0,-4.0,1
87,87,1995-96,1995,1996,Arsenal,Nott'm Forest,Draw,Home,1995-08-29,1,4,5,5,6,2,5,6,9,2,0,-1,-3,1,12.0,3.0,9.0,1
88,88,1995-96,1995,1996,Arsenal,Man City,Win,Away,1995-09-10,3,2,5,6,6,0,0,1,1,2,5,5,5,0,12.0,17.0,-5.0,2
89,89,1995-96,1995,1996,Arsenal,West Ham,Win,Home,1995-09-16,3,4,5,8,9,1,2,2,2,3,3,6,7,1,12.0,14.0,-2.0,2
90,90,1995-96,1995,1996,Arsenal,Southampton,Win,Home,1995-09-23,3,6,7,8,11,1,4,5,5,5,3,3,6,1,12.0,10.0,2.0,2
91,91,1995-96,1995,1996,Arsenal,Chelsea,Loss,Away,1995-09-30,0,6,9,10,11,3,6,7,7,3,3,3,4,0,12.0,11.0,1.0,2
92,92,1995-96,1995,1996,Arsenal,Leeds,Win,Away,1995-10-14,3,3,6,9,10,6,6,6,7,-3,0,3,3,0,12.0,5.0,7.0,3
93,93,1995-96,1995,1996,Arsenal,Aston Villa,Win,Home,1995-10-21,3,3,6,9,12,3,4,7,8,0,2,2,4,1,12.0,18.0,-6.0,3
94,94,1995-96,1995,1996,Arsenal,Bolton,Loss,Away,1995-10-30,0,6,6,9,12,1,1,1,1,5,5,8,11,0,12.0,21.0,-9.0,3
95,95,1995-96,1995,1996,Arsenal,Man United,Win,Home,1995-11-04,3,3,6,6,9,6,9,10,11,-3,-3,-4,-2,1,12.0,2.0,10.0,4
96,96,1995-96,1995,1996,Arsenal,Tottenham,Loss,Away,1995-11-18,0,3,6,9,9,4,5,5,8,-1,1,4,1,0,12.0,7.0,5.0,4
97,97,1995-96,1995,1996,Arsenal,Sheffield Weds,Win,Home,1995-11-21,3,3,3,6,9,2,2,5,5,1,1,1,4,1,12.0,13.0,-1.0,4
98,98,1995-96,1995,1996,Arsenal,Blackburn,Draw,Home,1995-11-26,1,3,6,6,9,3,3,6,7,0,3,0,2,1,12.0,1.0,11.0,4
99,99,1995-96,1995,1996,Arsenal,Aston Villa,Draw,Away,1995-12-02,1,4,4,7,7,3,4,7,10,1,0,0,-3,0,12.0,18.0,-6.0,5
100,100,1995-96,1995,1996,Arsenal,Southampton,Draw,Away,1995-12-09,1,2,5,5,8,4,4,4,7,-2,1,1,1,0,12.0,10.0,2.0,5
101,101,1995-96,1995,1996,Arsenal,Chelsea,Draw,Home,1995-12-16,1,2,3,6,6,4,5,8,8,-2,-2,-2,-2,1,12.0,11.0,1.0,5
102,102,1995-96,1995,1996,Arsenal,Liverpool,Loss,Away,1995-12-23,0,2,3,4,7,6,7,7,8,-4,-4,-3,-1,0,12.0,4.0,8.0,5
103,103,1995-96,1995,1996,Arsenal,QPR,Win,Home,1995-12-26,3,1,2,3,4,6,6,7,7,-5,-4,-4,-3,1,12.0,8.0,4.0,5
104,104,1995-96,1995,1996,Arsenal,Wimbledon,Loss,Home,1995-12-30,0,3,4,5,6,4,4,5,6,-1,0,0,0,1,12.0,9.0,3.0,5
105,105,1995-96,1995,1996,Arsenal,Newcastle,Loss,Away,1996-01-02,0,3,3,4,5,3,6,6,7,0,-3,-2,-2,0,12.0,6.0,6.0,6
106,106,1995-96,1995,1996,Arsenal,Middlesbrough,Win,Away,1996-01-13,3,0,3,3,4,0,0,3,3,0,3,0,1,0,12.0,21.0,-9.0,6
107,107,1995-96,1995,1996,Arsenal,Everton,Loss,Home,1996-01-20,0,3,3,6,6,4,7,10,10,-1,-4,-4,-4,1,12.0,15.0,-3.0,6
108,108,1995-96,1995,1996,Arsenal,Coventry,Draw,Home,1996-02-03,1,3,3,3,6,1,1,2,5,2,2,1,1,1,12.0,16.0,-4.0,7
109,109,1995-96,1995,1996,Arsenal,Nott'm Forest,Win,Away,1996-02-10,3,1,4,4,4,3,3,6,6,-2,1,-2,-2,0,12.0,3.0,9.0,7
110,110,1995-96,1995,1996,Arsenal,West Ham,Win,Away,1996-02-24,3,4,4,7,7,6,9,12,15,-2,-5,-5,-8,0,12.0,14.0,-2.0,7
111,111,1995-96,1995,1996,Arsenal,QPR,Draw,Away,1996-03-02,1,6,7,7,10,3,3,3,3,3,4,4,7,0,12.0,8.0,4.0,8
112,112,1995-96,1995,1996,Arsenal,Man City,Win,Home,1996-03-05,3,4,7,8,8,2,2,5,6,2,5,3,2,1,12.0,17.0,-5.0,8
113,113,1995-96,1995,1996,Arsenal,Wimbledon,Win,Away,1996-03-16,3,4,7,10,11,2,3,3,3,2,4,7,8,0,12.0,9.0,3.0,8
114,114,1995-96,1995,1996,Arsenal,Man United,Loss,Away,1996-03-20,0,6,7,10,13,4,7,10,13,2,0,0,0,0,12.0,2.0,10.0,8
115,115,1995-96,1995,1996,Arsenal,Newcastle,Win,Home,1996-03-23,3,3,6,7,10,3,4,4,7,0,2,3,3,1,12.0,6.0,6.0,8
116,116,1995-96,1995,1996,Arsenal,Leeds,Win,Home,1996-04-06,3,3,6,9,10,3,4,4,7,0,2,5,3,1,12.0,5.0,7.0,9
117,117,1995-96,1995,1996,Arsenal,Sheffield Weds,Loss,Away,1996-04-08,0,6,6,9,12,0,3,6,6,6,3,3,6,0,12.0,13.0,-1.0,9
118,118,1995-96,1995,1996,Arsenal,Tottenham,Draw,Home,1996-04-15,1,3,6,6,9,1,4,4,7,2,2,2,2,1,12.0,7.0,5.0,9
119,119,1995-96,1995,1996,Arsenal,Blackburn,Draw,Away,1996-04-27,1,1,4,7,7,6,9,9,9,-5,-5,-2,-2,0,12.0,1.0,11.0,9
120,120,1995-96,1995,1996,Arsenal,Liverpool,Draw,Home,1996-05-01,1,2,2,5,8,4,7,7,10,-2,-5,-2,-2,1,12.0,4.0,8.0,10
121,121,1995-96,1995,1996,Arsenal,Bolton,Win,Home,1996-05-04,3,2,3,3,6,0,3,3,4,2,0,0,2,1,12.0,21.0,-9.0,10
